Date,Open,High,Low,Close,Volume,MA50,MA20,Price_fluctuations,Gain,Loss,AVG_gain,AVG_loss,RS,RSI,Target,EMA_12,EMA_26,MACD,Signal_Line,Volatility,Signal
2021-06-18 00:00:00+07:00,23342.423828125,23525.501662071078,23159.345994178922,23342.423828125,30.0092,21679.1611328125,23823.00244140625,366.15625,366.15625,0.0,219.03948102678572,307.3090122767857,0.7127662134081214,41.614915557554966,23067.806640625,23530.89147485984,23142.226410310344,388.6650645494956,625.7310211212847,,Be Carefull!
2021-06-21 00:00:00+07:00,23113.576098245285,23342.423386346723,22884.728810143846,23067.806640625,34.3654,21754.223046875,23811.56005859375,-274.6171875,0.0,274.6171875,219.03948102678572,307.3091517857143,0.7127658898341238,41.61490452750393,23296.654296875,23459.647654208326,23136.713834778096,322.93381943022905,565.1715807830736,,Be Carefull!
2021-06-22 00:00:00+07:00,23250.884838531434,23479.732130249264,23022.037546813604,23296.654296875,37.326,21836.150390625,23795.5408203125,228.84765625,228.84765625,0.0,235.3857421875,297.5013950892857,0.7912088685055653,44.17178155028251,23388.19140625,23434.57175308012,23148.561276414905,286.0104766652148,509.3393599595019,,Be Carefull!
2021-06-23 00:00:00+07:00,23296.6524966365,23845.885954317517,23159.344132216243,23388.19140625,26.4186,21923.11234375,23756.63671875,91.537109375,91.537109375,0.0,176.53920200892858,297.5013950892857,0.593406299677642,37.24136774140359,23296.654296875,23427.436315106253,23166.31165640269,261.1246587035639,459.69641970831435,,Be Carefull!
2021-06-24 00:00:00+07:00,23479.732130249264,23662.809963623527,23159.345921844302,23296.654296875,21.836,22003.20890625,23745.1943359375,-91.537109375,0.0,91.537109375,176.53920200892858,297.50125558035717,0.5934065779469787,37.241378701445555,23617.0390625,23407.316004609136,23175.966666808046,231.34933780108986,414.0270033268695,,Be Carefull!
2021-06-25 00:00:00+07:00,23342.422329215115,23617.0390625,23067.805595930233,23617.0390625,21.9404,22094.7478125,23713.1556640625,320.384765625,320.384765625,0.0,199.423828125,225.57784598214286,0.8840576841960728,46.92306884294257,24532.4296875,23439.5810904385,23208.638696118564,230.94239431993628,377.41008152548284,,Be Carefull!
2021-06-28 00:00:00+07:00,24028.965645405784,24715.507520988805,23891.65727028918,24532.4296875,58.1682,22202.7637109375,23710.86728515625,915.390625,915.390625,0.0,264.80887276785717,130.76981026785714,2.025000053339865,66.94214934324009,24486.66015625,23607.71164383258,23306.69728807274,301.0143557598385,362.130936372354,,Be Carefull!
2021-06-29 00:00:00+07:00,24532.42961448598,24623.968530957944,24166.27394859813,24486.66015625,33.3884,22318.1027734375,23720.02119140625,-45.76953125,0.0,45.76953125,222.30873325892858,134.0390625,1.6585369153769092,62.3853257701247,24120.50390625,23742.934491896798,23394.101944974762,348.8325469220363,359.4712584822904,,Be Carefull!
2021-06-30 00:00:00+07:00,24440.890106143263,24623.9679346537,24074.734449122392,24120.50390625,23.3234,22430.2379296875,23717.73271484375,-366.15625,0.0,366.15625,222.30873325892858,137.30831473214286,1.6190478609575847,61.81818534486892,24395.119140625,23801.02209410498,23447.909497661814,353.1125964431667,358.19952607446567,,Be Carefull!
2021-07-01 00:00:00+07:00,24212.04132343457,24486.658049220216,23845.885689053706,24395.119140625,38.7134,22537.3384375,23683.40556640625,274.615234375,274.615234375,0.0,160.19294084821428,137.30831473214286,1.1666659893146125,53.84613941734818,24852.81640625,23892.421639723445,23518.073174918347,374.34846480509805,361.42931382059214,,Be Carefull!
2021-07-02 00:00:00+07:00,24807.046946938302,25127.433162120164,24532.43019106814,24852.81640625,58.98406,22657.712109375,23676.540234375,457.697265625,457.697265625,0.0,189.61635044642858,137.30831473214286,1.3809531550670378,58.000013655378105,26546.28515625,24040.174680727534,23616.943043905878,423.23163682165614,373.78977842080496,,Be Carefull!
2021-07-05 00:00:00+07:00,25081.662526939654,26592.05461341595,24623.96795528017,26546.28515625,97.2622,22825.2283203125,23804.6947265625,1693.46875,1693.46875,0.0,310.57840401785717,124.23130580357143,2.500001122975225,71.42858059571319,24715.505859375,24425.73013850022,23833.93134852396,591.7987899762593,417.39158073189583,,Be Carefull!
2021-07-06 00:00:00+07:00,26454.74516059028,26820.90080295139,24715.505859375,24715.505859375,46.3407,22948.8058203125,23907.67587890625,-1830.779296875,0.0,1830.779296875,310.57840401785717,202.69321986607142,1.5322584752608754,60.50956054567143,25905.51171875,24470.311018634802,23899.233164142555,571.0778544922468,448.12883548396604,,Be Carefull!
2021-07-07 00:00:00+07:00,25173.20043341431,25905.51171875,24532.428058745583,25905.51171875,77.12932,23105.7950390625,24040.4072265625,1190.005859375,1190.005859375,0.0,395.57882254464283,186.34709821428572,2.1228064527709654,67.97752229848672,25905.51171875,24691.111126344833,24047.846390409773,643.2647359350594,487.1560155741847,,Be Carefull!
2021-07-08 00:00:00+07:00,25539.356076082153,26271.667361417843,25447.817165415192,25905.51171875,55.1468,23262.3265625,24189.15791015625,0.0,0.0,0.0,369.4248046875,186.34709821428572,1.9824553654304287,66.47057952346992,25905.51171875,24877.94198671486,24185.451229546088,692.4907571687727,528.2229638931024,,Be Carefull!
2021-07-09 00:00:00+07:00,25676.664442082594,26775.13137008613,25447.817165415192,25905.51171875,73.797,23414.738828125,24280.69677734375,0.0,0.0,0.0,369.4248046875,166.73158482142858,2.215685798722159,68.90243442324567,24486.66015625,25036.02963779719,24312.86311763527,723.1665201619217,567.2116751468662,,Be Carefull!
2021-07-12 00:00:00+07:00,25402.049320969625,25859.74390332944,24120.50449036215,24486.66015625,136.5854,23529.1624609375,24299.00458984375,-1418.8515625,0.0,1418.8515625,353.0785435267857,268.078125,1.3170733103518015,56.84210786372703,24669.73828125,24951.511256020698,24325.73697234747,625.7742836732286,578.9241968521387,,Be Carefull!
2021-07-13 00:00:00+07:00,24761.27719880566,24852.81611636132,24166.27423469388,24669.73828125,46.4236,23625.278359375,24335.62021484375,183.078125,183.078125,0.0,359.6171875,268.078125,1.3414641254293533,57.29167963157965,23342.423828125,24908.161567594438,24351.21855078469,556.943016809746,574.5279608436601,,Be Carefull!
2021-07-14 00:00:00+07:00,24578.19920726103,24623.96866574755,23159.345994178922,23342.423828125,86.5274,23671.5055078125,24342.4857421875,-1327.314453125,0.0,1327.314453125,359.6171875,356.34793526785717,1.009174326293162,50.22831085817447,23845.888671875,24667.278838445294,24276.493015772863,390.7858226724311,537.7795332094144,,Be Carefull!
2021-07-15 00:00:00+07:00,23342.42461162428,24349.35273212572,23250.885691578696,23845.888671875,44.566,23717.275,24385.966796875,503.46484375,503.46484375,0.0,372.6943359375,356.34793526785717,1.0458720229633185,51.12108730283324,23617.0390625,24540.911120511402,24244.596397706355,296.3147228050475,489.48657112854096,,Be Carefull!
