Date,Open,High,Low,Close,Volume,MA50,MA20,Price_fluctuations,Gain,Loss,AVG_gain,AVG_loss,RS,RSI,Target,EMA_12,EMA_26,MACD,Signal_Line,Volatility,Signal
2021-06-18 00:00:00+07:00,13852.00781831127,13852.00781831127,13666.188154582936,13699.9736328125,73.87871,11627.5775,13012.440478515626,219.60546875,219.60546875,0.0,196.67926897321428,135.14153180803572,1.4553577004916998,59.272736522269476,13733.7578125,13193.104690882263,12680.961128154766,512.1435627274968,541.8360786270642,,Be Carefull!
2021-06-21 00:00:00+07:00,13649.294591446445,13835.114237605325,13547.93816634112,13733.7578125,53.728684,11687.3776171875,13112.10732421875,33.7841796875,33.7841796875,0.0,194.26590401785714,135.14153180803572,1.4374996451398967,58.97435300169628,14189.8603515625,13276.282094208069,12758.946067735895,517.3360264721741,536.9360681960862,,Be Carefull!
2021-06-22 00:00:00+07:00,13852.006533668155,14341.894522961533,13818.221058571877,14189.8603515625,105.550712,11760.3540234375,13216.8419921875,456.1025390625,456.1025390625,0.0,219.60498046875,135.14153180803572,1.6249999354789721,61.9047609684023,14156.076171875,13416.83259533952,12864.939718389716,551.8928769498034,539.9274299468296,,Be Carefull!
2021-06-23 00:00:00+07:00,14274.32487899858,14341.895835374487,14020.934259123182,14156.076171875,67.097933,11831.6412109375,13291.169873046874,-33.7841796875,0.0,33.7841796875,155.65408761160714,137.5546875,1.13157966798837,53.086435613090295,14189.8603515625,13530.562376344978,12960.579455684923,569.9829206600552,545.9385280894749,,Be Carefull!
2021-06-24 00:00:00+07:00,14341.894522961533,14443.250948250368,14088.503926273665,14189.8603515625,63.69496,11901.57693359375,13384.079638671876,33.7841796875,33.7841796875,0.0,148.41420200892858,137.5546875,1.0789468880064208,51.89872306170663,14223.646484375,13631.992834070752,13051.637299824002,580.3555342467498,552.8219293209299,,Be Carefull!
2021-06-25 00:00:00+07:00,14189.861007716445,14257.431961033553,13953.363604175049,14223.646484375,53.034967,11975.904765625,13458.407470703125,33.7861328125,33.7861328125,0.0,150.82749720982142,94.11635044642857,1.6025642355895728,61.57635664375967,14561.5009765625,13723.016472579096,13138.452794975927,584.5636776031697,559.170278977378,,Be Carefull!
2021-06-28 00:00:00+07:00,14392.57358562852,14629.07193293609,14358.788107441724,14561.5009765625,52.727278,12055.9761328125,13544.56025390625,337.8544921875,337.8544921875,0.0,174.9599609375,34.991908482142854,5.000011960659017,83.33336655731992,14679.7490234375,13852.014088576543,13243.863771389748,608.1503171867953,568.9662866192614,,Be Carefull!
2021-06-29 00:00:00+07:00,14595.285798303637,14797.997725238605,14358.787461632946,14679.7490234375,53.223033,12142.8045703125,13633.246875,118.248046875,118.248046875,0.0,153.24072265625,34.991908482142854,4.379318799773787,81.41028562869238,14645.962890625,13979.357924708998,13350.225641911802,629.1322827971962,580.9994858548484,,Be Carefull!
2021-06-30 00:00:00+07:00,14696.640636821237,15017.60218424658,14645.962890625,14645.962890625,73.515874,12231.6601171875,13715.176416015625,-33.7861328125,0.0,33.7861328125,153.24072265625,21.719168526785715,7.0555519870181245,87.58620139735248,14679.7490234375,14081.912534849922,13446.20617885352,635.7063559964026,591.9408598831593,,Be Carefull!
2021-07-01 00:00:00+07:00,14662.85675163812,14764.212248571364,14443.251619835291,14679.7490234375,72.003724,12319.16427734375,13754.029638671875,33.7861328125,33.7861328125,0.0,119.45542689732143,21.719168526785715,5.499999999974677,84.61538461532467,14679.7490234375,14173.887379248012,13537.579722896777,636.307656351235,600.8142191767745,,Be Carefull!
2021-07-02 00:00:00+07:00,14797.997725238605,14797.997725238605,14645.96354677026,14679.7490234375,50.228711,12406.6684375,13786.125732421875,0.0,0.0,0.0,119.45542689732143,19.305873325892858,6.1875173881147445,86.0869901803146,14561.5009765625,14251.712247584856,13622.184856270163,629.5273913146921,606.556853604358,,Be Carefull!
